block_number,transaction_index,log_index,transaction_hash,address,topic0,topic1,topic2,topic3,data,chain_id
15596644,0,0,0x5c981e62eca14546cb2eb2e6e776b69e3c7af8c28b378ce41502e6e27d0bb164,0x4a220e6096b25eadb88358cb44068a3248254675,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000a270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,0x0000000000000000000000005e7d3fdcbf6942fb22cf2d7d5bafa34d8a190442,,0x0000000000000000000000000000000000000000000000000e88d8c8baa3dc00,1
15596644,1,1,0x20cd91dc92ed633d9df3a6c1224023da0bffeadf51ec47203f0391cbfd7d7209,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000ffec0067f5a79cff07527f63d83dd5462ccf8ba4,0x0000000000000000000000000c0d59255a4cd876d98b95accdb2696e83708b1b,,0x00000000000000000000000000000000000000000000000000000001c3cd9f00,1
15596644,3,2,0x64d94089712e74768149696de207e04617ed46f56ae04c0c681ddb9b91ba227c,0x3d382228c54736d831fac2748f4734d9177c7332,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x00000000000000000000000030741289523c2e4d2a62c7d6722686d14e723851,0x0000000000000000000000000bd49b44bd9a4db9cb25b5564661fa1032ff1290,,0x0000000000000000000000000000000000000000000000f9186f5aa587ec0000,1
15596644,4,3,0xeaed3af1d316015615acab9c2c820ca8fd4d4dc640bae715dad39f8533c6eb0b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000003b7430b17288c9cf4b3bac0b07b2cc6d2af9c64d,0x000000000000000000000000fdb16996831753d5331ff813c29a93c76834a0ad,,0x000000000000000000000000000000000000000000000000000000009150ed80,1
15596644,5,4,0xc5950a9aee88ce073386e16345758049db4b0d3bd0c1a9a5e3a40a21d9cc8ebe,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000ba4db17d573c9a4a348f0fdb6206842783f819a4,0x0000000000000000000000000a98fb70939162725ae66e626fe4b52cff62c2e5,,0x0000000000000000000000000000000000000000000000000000000091a686e7,1
15596644,6,5,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0xc6c1468fd63ed0652d3404e90e87dacf403e299d,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000002f2648328497a95ab21fb3e3ce5039f271686f36,0x000000000000000000000000c6c1468fd63ed0652d3404e90e87dacf403e299d,,0x000000000000000000000000000000000000000000005150ae84a8cdf0000000,1
15596644,6,6,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0xc6c1468fd63ed0652d3404e90e87dacf403e299d,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000002f2648328497a95ab21fb3e3ce5039f271686f36,0x00000000000000000000000027d55ac82e839c1f1785bb262b22ff848dcf4d24,,0x000000000000000000000000000000000000000000079f905c6fd34e80000000,1
15596644,6,7,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0xc6c1468fd63ed0652d3404e90e87dacf403e299d,0x8c5be1e5ebec7d5bd14f71427d1e84f3dd0314c0f7b2291e5b200ac8c7c3b925,0x0000000000000000000000002f2648328497a95ab21fb3e3ce5039f271686f36,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0xfffffffffffffffffffffffffffffffffffffffffff80f1ef50b83e38fffffff,1
15596644,6,8,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x00000000000000000000000027d55ac82e839c1f1785bb262b22ff848dcf4d24,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x000000000000000000000000000000000000000000000000036b0be07a216383,1
15596644,6,9,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0x27d55ac82e839c1f1785bb262b22ff848dcf4d24,0x1c411e9a96e071241c2f21f7726b17ae89e3cab4c78be50e062b03a9fffbbad1,,,,0x00000000000000000000000000000000000000000000000066ad981e44aa29aa000000000000000000000000000000000000000000ebeee4254747397ae53fb9,1
15596644,6,10,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0x27d55ac82e839c1f1785bb262b22ff848dcf4d24,0xd78ad95fa46c994b6551d0da85fc275fe613ce37657fb8d5e3d130840159d822,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,0x0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000079f905c6fd34e80000000000000000000000000000000000000000000000000000000036b0be07a2163830000000000000000000000000000000000000000000000000000000000000000,1
15596644,6,11,0x9ce6e18d8fa53a926dcf86dda8d8213914c0c08577700f8d2009da0f6110d66d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7fcf532c15f0a6db0bd6d0e038bea71d30d808c7d98cb3bf7268a95bf5081b65,0x0000000000000000000000007a250d5630b4cf539739df2c5dacb4c659f2488d,,,0x000000000000000000000000000000000000000000000000036b0be07a216383,1
15596644,7,12,0x717bb2f935444ed3c21f15222e0db16b2bedd793fa5e395d3c0d9442bf0d41a9,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x00000000000000000000000076ea6d8497ed9b63a2bbef8d4822ca59a045a29f,0x000000000000000000000000fdb16996831753d5331ff813c29a93c76834a0ad,,0x0000000000000000000000000000000000000000000000000000000091614f6c,1
15596644,8,13,0xa48122ce75d2fa447491e2d029c1912fea3a244bae94e550783ae0fc5f76c822,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000ae5c004ff1305ae87f829df58ad394662e85851a,0x00000000000000000000000046705dfff24256421a05d056c29e81bdc09723b8,,0x0000000000000000000000000000000000000000000000000000000091616323,1
15596644,9,14,0xeb50d3491228b8d874d677a012215bf6f50a4aa597a3c8e99fbd9a0ec3fc0710,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000a66de455ed4bf483db9e2496f6d0db414102a6a0,0x000000000000000000000000fdb16996831753d5331ff813c29a93c76834a0ad,,0x00000000000000000000000000000000000000000000000000000000915c5437,1
15596644,10,15,0xa3effb8a75ad3156dad4efd6afc71b174eae87be26d6418650a37325f66bceec,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x00000000000000000000000066ac00f127a274332dd947ad15afc509295267cb,0x00000000000000000000000046705dfff24256421a05d056c29e81bdc09723b8,,0x000000000000000000000000000000000000000000000000000000009166e017,1
15596644,11,16,0x487b40c1e819627cdfcf212d1695c3985d5da19c1d472b80ff580346b4ab74c1,0xdac17f958d2ee523a2206206994597c13d831ec7,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x000000000000000000000000c6e282c9f4981b2036da4ca3f4fef3d68e66f75a,0x0000000000000000000000008bf0fec9e8e41a5e4e493d5167c2fdbf3e1d747f,,0x00000000000000000000000000000000000000000000000000000001e4b47900,1
15596644,13,17,0xedad4accb6bedf7e4b58c7dcc63ffd9385ffc1c5c701a1c29e7c9238c4775312,0x473037de59cf9484632f4a27b509cfe8d4a31404,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000006238872a0bd9f0e19073695532a7ed77ce93c69e,0x0000000000000000000000004b3b86a2518ba7addde1f6f09a5a6ac385522544,,0x0000000000000000000000000000000000000000000000000000000267c68cc0,1
15596644,14,18,0x8f64090f55bcee5926c8c1f733284d457f5703074ce5ac2150ae2a26bb7d8607,0x473037de59cf9484632f4a27b509cfe8d4a31404,0xddf252ad1be2c89b69c2b068fc378daa952ba7f163c4a11628f55a4df523b3ef,0x0000000000000000000000006238872a0bd9f0e19073695532a7ed77ce93c69e,0x00000000000000000000000054ddcf140ccaed8303cb545ca260fb9b04ff5a4a,,0x000000000000000000000000000000000000000000000000000000026dea3480,1
